Speaker,Title,SpecialTitle,Company
Tommi Sneck,Director Saw Timber Industry,Chairman of Finnish Sawmills Association,Koskisen Oy
Kimmo Tiilikainen,State Sectetary,,Ministry of Economic Affairs
Markku Ollikainen,Professor ,Chairman of thr Finnish Climate Change Panel,University of Helsinki
Paula Horne,Research Director,,Pellervo Economic Research PTT
Anniina Kostilainen,Public Relations Manager,,Finnish Sawmills Association
Tuuli Koivu,Chief Economist,,Nordea Bank
Mika Lehmonen,Export Manager,,Koskisen Oy
Esa Mikkonen,Course Director,,LAB University of Applied Sciences
Kai Merivuori,Managing Director,,Finnish Sawmills Association
Antti Koskinen,Senior Consultant,,AFRY management consulting
Anna Ni,Senior Advisor,,Business Finland Oy
Kimihiro Yazawa,Managing Director,,Polus-Tec Helsinki Oy
Alexander Aleksin,Head of Sawn Timber Sales,,Company Group VLP