CompanyName,CompanyUrl,
DB Schenker,dbschenker.com,
DHL,dhl.com,
Euroports Finland,euroports.fi,
Fenniarail,fenniarail.fi,
Fracht Finland Oy Ltd,fracht.com,
GreencarrierÿLiner Agency Finland Oy,greencarrier.fi,
Hacklin Oy,hacklin.fi,
Helsingin Satama,portofhelsinki.fi,
Hooli Stevedoring Oy,hoolistevedoring.fi,
Kalajoen Satama,portofkalajoki.fi,
MSC,msc.com,
Pietarsaaren satama ,portofpietarsaari.fi,
Porin Satama Oy,portofpori.fi,
Raahen Satama,raahensatama.fi,
Rauanheimo M Oy,rauanheimo.com,
Rauman Satama ,portofrauma.com,
RP-Group,rpgroup.fi,
Scan Global Logistics (Finland) Oy,scangl.com,
Steveco Oy,steveco.fi,
VR-Yhtym„ Oy ,vrtranspoint.fi,